COURSE_EVAL,PROF_EVAL,PROF_AGE,SIZE,PROF_BEAUTY,CLASS_LEVEL_UPPER,PROF_GENDER_FEMALE
4.3,4.7,36,2,5,1,1
4.5,4.6,59,2,3,1,0
3.7,4.1,51,3,3.333,1,0
4.3,4.5,40,2,3.167,1,1
4.4,4.8,31,3,7.333,1,1
4.2,4.4,62,3,5.5,1,0
4,4.4,33,2,4.167,1,1
3.4,3.4,51,2,4,1,1
4.7,4.8,33,2,4.667,1,1
3.9,4,47,2,5.5,1,0
3.1,3.6,35,2,4.833,1,0
4,4.1,37,2,4.333,1,0
3.8,4.1,42,2,4.833,1,0
3.4,3.5,49,2,4,1,0
2.9,2.9,37,2,5.5,1,1
4.5,4.6,45,2,4.167,1,0
4,4.4,56,2,2.5,1,1
3.8,4,48,3,4.333,0,0
4.3,4.9,46,2,4.333,1,1
3.4,3.5,57,2,4.333,1,1
3.4,3.7,52,2,4.833,1,1
3.3,3.4,29,2,2.833,1,1
4.3,4.3,62,2,3,1,0
4.4,4.5,64,1,4.167,1,0
4.1,4.3,64,2,4.167,1,0
4.6,4.8,34,2,7.833,1,1
4.2,4.4,58,3,3.833,1,0
4,4.4,52,1,4.833,1,0
3.3,3.6,73,1,3,1,0
4.4,4.6,70,3,3,1,0
2.3,2.3,41,1,5.167,1,1
3.5,4.3,63,2,4.333,1,0
4.7,4.9,47,1,2.667,1,0
3.9,4.2,39,3,5.5,0,0
4,4.2,47,2,4.333,0,1
4.3,4.3,54,1,2.333,1,0
3.8,3.9,44,2,6.5,1,1
3.8,3.9,47,2,2.333,1,0
4,4.1,62,1,3,1,0
4.6,4.8,60,2,3.667,1,0
3.5,3.3,37,1,6.167,1,0
4.7,4.4,42,1,4,1,0
3.4,3.3,39,2,8.167,0,1
3.9,4,49,2,6.5,1,0
4.5,4.5,61,2,4.833,0,0
4.7,4.9,33,2,7,1,0
3.5,3.7,58,2,4.667,1,1
3.7,3.9,56,1,3.833,1,1
4,4.4,50,2,3.167,0,1
4.1,4.4,52,3,3.167,1,0
4.4,4.5,33,1,5.833,1,1
4.2,4.3,57,3,5.667,1,0
4.5,4.8,38,3,6.5,1,1
3.8,4.1,34,3,1.667,0,1
3.1,3.5,34,2,6.667,1,0
3.7,4,32,3,3.667,0,0
3.9,3.8,42,3,6.167,0,1
4,4.1,43,2,3.333,0,1
3.3,3.7,35,1,3.667,1,0
3.1,3.2,62,2,3.5,1,1
4,4.2,42,3,2.667,1,0
4.3,4.5,39,2,5.667,1,0
3.7,3.8,52,3,6,1,1
3.4,3.7,52,2,6.5,1,1
4.3,4.5,52,3,2.333,1,1
3.7,3.8,64,1,2.333,1,0
4.2,4.5,50,1,7.167,1,0
2.2,2.4,60,2,1.667,1,0
3,3,51,3,5.167,1,1
4.3,4.5,43,2,3.5,0,0
3.5,3.5,52,3,5.833,1,0
4.6,4.8,51,3,6.167,0,0
3.7,4.2,38,3,3.333,0,0
3.8,4,47,2,5.167,0,1
3.6,3.7,43,3,4.167,0,1
4.4,4.5,38,2,2.5,0,1
4.1,4.7,43,1,4.333,0,0
4.3,4.3,57,1,3,1,0
4,4,51,1,6.333,1,1
4.8,4.9,45,1,3.333,0,0
3.5,3.5,57,1,2.833,0,0
3.6,3.3,47,2,6.667,0,1
3.8,4.2,54,2,6.833,0,1
4.7,4.8,58,2,7.833,0,0
4.9,4.9,42,1,7.833,0,0
4.3,4.5,33,3,5.833,0,0
3.3,3.3,62,1,2,0,0
3.4,3.3,35,3,7.833,0,1
3.6,3.6,61,2,3.333,0,0
4,4.1,52,3,4.5,0,1
3.9,3.7,60,2,4.333,1,1
4.3,4.5,32,3,6.833,0,0
3.3,3.5,42,3,5.333,1,1
