name,platform,global_sales,critic_score,critic_count,user_score,user_count
.hack: Sekai no Mukou ni + Versus,PS3,0.03,,,,
.hack//Link,PSP,0.14,,,,
[Prototype],X360,1.27,78,83,7.9,327
[Prototype],PS3,1.19,79,53,7.8,271
0-ji no Kane to Cinderella: Halloween Wedding,PSP,0.01,,,,
007: Quantum of Solace,X360,1.43,,,,
007: Quantum of Solace,PS3,1.09,,,,
007: Quantum of Solace,Wii,0.62,,,,
1/2 Summer +,PSP,0.01,,,,
10 Minute Solution,Wii,0.06,,,,
101-in-1 Party Megamix Wii,Wii,0.22,,,,
101-in-1 Sports Party Megamix,Wii,0.03,41,7,,
11eyes: CrossOver,X360,0.02,,,,
11eyes: CrossOver,PSP,0.02,,,,
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,0.03,,,,
2010 FIFA World Cup South Africa,PS3,1.16,82,56,7.8,43
2010 FIFA World Cup South Africa,X360,0.82,83,61,8.2,49
2010 FIFA World Cup South Africa,PSP,0.42,69,11,8.8,6
2010 FIFA World Cup South Africa,Wii,0.4,70,19,6.3,9
300: March to Glory,PSP,0.4,55,31,7,12
3D Dot Game Heroes,PS3,0.51,77,66,7.9,77
4 Elements,3DS,0.01,,,,
428: Fuusa Sareta Shibuya de,Wii,0.13,,,,
428: Fuusa Sareta Shibuya de,PSP,0.04,,,,
428: Fuusa Sareta Shibuya de,PS3,0.02,,,,
50 Cent: Blood on the Sand,X360,0.2,71,54,6.2,47
50 Cent: Blood on the Sand,PS3,0.17,72,37,7.3,52
50 Cent: Bulletproof,PSP,0.08,,,,
7 Wonders of the Ancient World,PSP,0.08,51,10,,
7th Dragon 2020,PSP,0.2,,,,
7th Dragon 2020-II,PSP,0.12,,,,
A Boy and His Blob,Wii,0.2,80,43,8.8,29
A.C.E.: Another Century's Episode Portable,PSP,0.12,,,,
A.C.E.: Another Century's Episode R,PS3,0.26,,,,
ABBA: You Can Dance,Wii,0.71,66,5,,
Abunai: Koi no Sousa Shitsu,PSP,0.01,,,,
AC/DC LIVE: Rock Band Track Pack,Wii,0.26,,,7.2,5
AC/DC LIVE: Rock Band Track Pack,PS3,0.22,60,12,4.9,12
AC/DC LIVE: Rock Band Track Pack,X360,0.21,63,16,4.4,7
Academy of Champions: Soccer,Wii,0.1,64,20,6.7,13
Accel World: Ginyoku no Kakusei,PS3,0.03,,,,
Accel World: Ginyoku no Kakusei,PSP,0.03,,,,
Accel World: Kasoku no Chouten,PS3,0.02,,,,
Accel World: Kasoku no Chouten,PSP,0.01,,,,
Ace Combat 6: Fires of Liberation,X360,0.97,80,54,8,84
Ace Combat X: Skies of Deception,PSP,0.97,75,26,8.5,27
Ace Combat: Assault Horizon,PS3,0.68,77,28,6.8,67
Ace Combat: Assault Horizon,X360,0.44,78,71,6.2,69
Ace Combat: Assault Horizon Legacy,3DS,0.15,71,37,8.2,23
Ace Combat: Joint Assault,PSP,0.28,71,30,6.8,10
Action Girlz Racing,Wii,0.01,,,1.7,19
Active Life Explorer,Wii,0.13,,,,
Active Life: Extreme Challenge,Wii,0.45,56,13,,
Active Life: Magical Carnival,Wii,0.04,,,,
Active Life: Outdoor Challenge,Wii,1.53,69,6,8.4,13
Activision Hits: Remixed,PSP,0.05,75,10,,
Adrenalin Misfits,X360,0.12,50,32,,
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,0.05,,,,
Adventure Time: Explore the Dungeon Because I Don't Know!,X360,0.03,,,,
Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,0.02,,,,
Adventures to Go!,PSP,0.1,,,,
Aedis Eclipse: Generation of Chaos,PSP,0.02,62,20,6.4,7
Afrika,PS3,0.2,63,12,6.1,34
Afro Samurai,X360,0.22,65,70,6.2,49
Afro Samurai,PS3,0.18,65,52,6,20
After Burner: Black Falcon,PSP,0.01,73,30,6.6,7
After Hours Athletes,PS3,0.04,,,,
Agarest Senki: Re-appearance,PS3,0.01,,,,
Agatha Christie: And Then There Were None,Wii,0.07,50,23,6.3,11
Agatha Christie: Evil Under the Sun,Wii,0.07,46,6,8.8,5
Aikatsu! 2-nin no My Princess,3DS,0.21,,,,
Aikatsu! Cinderella Lesson,3DS,0.18,,,,
Ailu de Puzzle,PSP,0.04,,,,
AIR,PSP,0.02,,,,
Air Conflicts: Aces of World War II,PSP,0.05,36,12,,
Air Conflicts: Secret Wars,PS3,0.12,51,8,,
Air Conflicts: Secret Wars,X360,0.06,61,14,,
Akai Katana Shin,X360,0.04,75,17,8,21
Akatsuki no Amaneka to Aoi Kyojin,PSP,0.01,,,,
Akatsuki no Amaneka to Aoi Kyojin,X360,0.01,,,,
Akatsuki no Goei Trinity,PSP,0.01,,,,
