AGE,SEX ,HEADLEN,HEADWDTH,NECK,LENGTH,CHEST,WEIGHT
9,1,10,4,13.5,43,23,46
45,1,13.5,7,24,64,39,204
34,1,16.5,6.5,27,72,44.5,270
9,1,10,4,13.5,43,23,46
11,0,9,5,15,46,27,62
9,1,10,4,13,40,23,40
19,1,11,5.5,16,53,26,80
35,1,13.5,8.5,23,63.5,44,212
81,1,15.5,8,31,72,54,416
68,1,16,9,29,73,44,332
9,1,10,4,13,40,23,40
23,1,12,6.5,19,50,38,148
10,1,11.5,5,17,47,29.5,86
70,1,15.5,7,28,76.5,55,446
10,1,9.5,4.5,16,40,26,65
16,1,10,5,15,41,26,64
32,1,13,8,21.5,59,33,166
9,0,9,4.5,12,36,19,26
19,1,11,5.5,16,53,26,80
51,1,13.5,8,27,68.5,49,360
81,0,13,5,20,61,33,132
21,1,13,6,19,59,30,120
83,0,14.5,7,23,61.5,44,236
57,0,13,5.5,17.5,60.5,31,116
16,1,10,4,15.5,48,26,60
16,1,10,5,15,41,26,64
56,1,15,7.5,26.5,73.5,41,262
17,0,11.5,5,15,52.5,28,76
81,0,13,5,20,61,33,132
70,0,14.5,6.5,26,65,48,316
17,1,11.5,5,17,53,30.5,114
9,0,9,4.5,12,36,19,26
53,0,12.5,6,18,58,31,144
21,1,13,6,19,59,30,120
21,1,14.5,5.5,20,61,34,150
21,1,14.5,5.5,20,61,34,150
45,0,13,6.5,21,60,34.5,182
8,1,9,4.5,13,37,19,34
55,1,16.5,9,28,67.5,45,344
57,0,13.5,7,20,64,38,204
10,1,11,5,17,49,29,94
57,0,12.5,5,19,57.5,32,125
18,1,12.5,8.5,18,57.3,32.8,140
57,0,13.5,7,20,64,38,204
17,0,11.5,5,15,52.5,28,76
