year,price,mileage,make,model
2014,33.888,17.714,Chevrolet ,Silverado
2014,13.995,35.535,VW,Jetta
2013,9.995,55.8,VW,Jetta
2004,6.666,135.9,Nissan,Altima
2016,12.95,35.517,Kia,Soul
2016,29.877,15.253,NIssan,Frontier
2014,28.9,27.892,Chevrolet ,Silverado
2017,34.9,7.856,Mercedes,Cclass
2014,26.95,24.629,BMW,371
2016,17.15,25.284,Ford,Escape
2017,25.888,0.006,Ford,Escape
2006,11.99,118.712,Nissan,Altima
2014,13.56,21.303,Kia,Soul
2011,13.995,87.011,Subaru,Outback
2015,18.9,36.165,Ford,Escape
2005,7.299,210.56,Mercedes,Eclass
2016,46.995,16.017,Honda,Accord
2016,13.9,32.13,Kia,Soul
2010,5.3,180,Chevrolet ,Equinox
2014,31.998,32.07,Mercedes,Eclass
2015,19.8,27.058,Subaru,Outback
2016,32.988,7.099,Mercedes,Cclass
2016,37.773,25.516,Honda,Accord
2014,25.425,24.384,Chevrolet ,Silverado
2010,20.987,51.556,Nissan,Altima
2014,21.9,37.914,Nissan,Rogue
2011,6.995,59,Kia,Soul
2014,29.995,29.956,Mercedes,Eclass
2017,30.028,2.012,Ford,Escape
2016,50.994,14.794,BMW,X16
2016,57.871,23.939,GMC,Yukon
2011,19.999,71.289,Jeep,Cherokee
2012,8.995,90.211,VW,Jetta
2005,11.99,125.244,Nissan,Altima
2015,25.975,27.82,Mercedes,Cclass
2014,18.988,44.158,Subaru,Outback
2017,53.084,5.413,BMW,X44
2015,33.987,33.116,Jeep,Cherokee
2014,15.983,71.474,Nissan,Rogue
2016,16.199,31.127,Nissan,Rogue
2014,33.585,20.697,Chevrolet ,Silverado
2008,7.91,107.106,Ford,Escape
2015,19.999,36.512,Toyota,Rav17
2014,31.999,29.247,Honda,Accord
2013,19.48,59.845,Subaru,Outback
2014,12.29,65.321,VW,Jetta
2015,10.999,46.641,VW,Jetta
2014,12.995,27.641,VW,Jetta
2015,17.995,49.243,Nissan,Rogue
2016,33.888,65.652,Honda,Accord
2013,17.888,80.396,BMW,328
2007,10.995,91.793,Jeep,Cherokee
2014,26.695,55.807,Mercedes,Eclass
2000,6.999,177,Honda,Accord
2012,16.995,30.389,Ford,Escape
2016,21.095,38.9,Toyota,Rav49
2015,10.99,34.858,Kia,Soul
2006,4.999,146.65,Jeep,Cherokee
2014,18.461,43.602,Toyota,Rav40
2013,14,63.104,Ford,Escape
2017,67.395,4.246,BMW,X51
2017,36.042,2.084,Ford,Escape
2015,24.459,21.29,Nissan,Altima
2014,17.5,25,Toyota,Rav45
2016,31.848,42.134,Honda,Accord
2015,35.877,35.786,Mercedes,Eclass
2011,12.9,61.698,Chevrolet ,Equinox
2011,30.998,40.931,Honda,Accord
2006,5.449,89.82,Ford,Escape
2015,12.688,49.849,NIssan,Frontier
2013,11.849,67.126,Subaru,Outback
2015,10.749,48.087,VW,Jetta
2016,13.9,31.851,Kia,Soul
2014,14.995,21.257,VW,Jetta
2015,17.988,35.281,Toyota,Rav6
2014,21.656,56.002,BMW,328
2013,17.9,74.02,Toyota,Rav34
2015,17.488,53.071,Toyota,Rav9
2003,5.942,134.05,Mercedes,Eclass
2013,18.99,38.927,BMW,367
2016,12.585,42.102,VW,Jetta
2016,22.999,23.865,Chevrolet ,Equinox
2013,16.998,37.972,Nissan,Rogue
2013,17.6,40,Mercedes,Cclass
2015,28.495,27.602,Chevrolet ,Equinox
2016,16.998,14.568,NIssan,Frontier
2015,37.998,36.408,BMW,X37
2014,12.788,40.135,Kia,Soul
2009,17.197,78.621,NIssan,Frontier
